Meta_troph,Simp,S,Metacom,Freq,Time_step,Bio_gr,Trophic_gr,New_tr_g,Ecosys,nSites,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,Simp_gamma,S_gamma
2080030710_Secondary,0.4779628942239422,1.5454545454545454,2080030710,Inter_annual,7,Fish,Consumers_Vert,Secondary,Stream,11,0.9095383566855676,0.6930526558268139,0.3821802921194162,0.281321879703659,0.4201915062846965,0.4059170357958461,0.7619828792623486,0.7360972962356653,0.5,2
2080030710_Tertiary,0.25897658041326826,1.9090909090909092,2080030710,Inter_annual,7,Fish,Consumers_Vert,Tertiary,Stream,11,0.7195795118939589,0.6035041257154109,0.43815057615462955,0.3978732406157012,0.6088980702096446,0.6592717823495423,0.8386899789947696,0.9080742152791009,0.75,4
2080031490_Secondary,0.5,0.5,2080031490,Inter_annual,9,Fish,Consumers_Vert,Secondary,Stream,12,0.5131113029031668,0.5052049158584057,0.3281266226991348,0.2856192122087003,0.6394843006626539,0.5653531928195867,0.984591282632,0.8704542467759152,0.5,2
2080031490_Tertiary,0.19688298136050159,1.75,2080031490,Inter_annual,9,Fish,Consumers_Vert,Tertiary,Stream,12,0.5807780612054304,0.5069472020836481,0.2927173859004436,0.2517203794688945,0.5040090276359541,0.49654160913459333,0.8728759502923662,0.8599433842802469,0.7999999999999999,5
2080033020_Secondary,0.1426887061385594,0.9166666666666666,2080033020,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,18,0.9199481722714986,0.8732960015034843,0.5476597489479588,0.5224834485551493,0.5953158726275847,0.598289065397793,0.9492882619106436,0.954029302972927,0.5,2
2080033020_Tertiary,0.23726951510699099,2.5277777777777777,2080033020,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,18,0.5528350118599114,0.4018151279482194,0.32639244295705766,0.2227089541721528,0.5903975615780385,0.5542572657962559,0.7268264840831744,0.6823348976907957,0.7999999999999999,5
2080033080_Secondary,0.23303112505927995,1.5,2080033080,Inter_annual,9,Fish,Consumers_Vert,Secondary,Stream,14,0.8172242611565039,0.7135085446890219,0.5133398072892363,0.34447101351898696,0.6281504743419852,0.48278470676076124,0.8730878151846501,0.671038966056451,0.6666666666666667,3
2080033080_Tertiary,0.251467687353294,2.0714285714285716,2080033080,Inter_annual,9,Fish,Consumers_Vert,Tertiary,Stream,14,0.6241777867450291,0.5526784637959848,0.3191335084938864,0.25051874633342386,0.511286231697075,0.45328118018707547,0.8854503885473081,0.7849966852923658,0.7999999999999999,5
2080033120_Secondary,0.07692307692307693,0.9230769230769231,2080033120,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,13,1.3372686160622296,1.3353174455569279,0.9990763147137399,0.9971370991621034,0.747102192269835,0.7467416100043702,0.9985409285151347,0.9980589915674337,0,1
2080033120_Tertiary,0.14340681966984792,2.4615384615384617,2080033120,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,13,0.5236988861088853,0.4324602218279864,0.37199180809189153,0.304719291808384,0.7103162102478647,0.7046180814511719,0.825780297226126,0.8191559200494826,0.75,4
2080053790_Secondary,0.5376213454243988,5.7,2080053790,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,30,0.8610914618539061,0.6407856711839095,0.35200122476478257,0.21205124588576896,0.4087849437119417,0.33092382589327424,0.7441551792934001,0.6024162161011449,0.9090909090909091,11
2080053790_Tertiary,0.484660771599863,2.566666666666667,2080053790,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,30,0.7147606427358169,0.578838802070167,0.3061758948776572,0.262563768245256,0.42836143538309374,0.45360429761484433,0.8098358631703677,0.857558588504076,0.6666666666666667,3
7080047060_Primary,0.4215692585021573,2.409090909090909,7080047060,Inter_annual,10,Fish,Consumers_Vert,Primary,Stream,11,1.1751610917339468,0.778394244531251,0.8054757761360155,0.5221203963467651,0.6854173285702799,0.6707660032368122,0.6623723760141961,0.6482136543589835,0.75,4
7080047060_Secondary,0.5841045435924402,7.318181818181818,7080047060,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,11,1.5290958350649875,1.104850722132104,1.1240539614334835,0.8931535095576836,0.7351102106596938,0.8083929273577392,0.7225516522874756,0.7945824134800992,0.9354166666666667,15.5
7080047060_Tertiary,0.6829474398682003,7.909090909090909,7080047060,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,11,1.1279860385044387,0.6576943071841727,0.7116306370732838,0.33580831107173703,0.6308860329661637,0.510584183873286,0.5830695458395823,0.4718856856034368,0.9333333333333333,15
Appal_Primary,0.872473595878342,0,Appal,Inter_annual,11,Fish,Consumers_Vert,Primary,Stream,21,1.7220673041109475,1.7220673041109475,1.5813459907275011,1.5813459907275011,0.9182834996939352,0.9182834996939352,1,1,0.75,0
Appal_Secondary,0.42503922682143624,3.3333333333333335,Appal,Inter_annual,11,Fish,Consumers_Vert,Secondary,Stream,21,0.6814870399385314,0.5369478987098747,0.36097860151655337,0.2091526773570602,0.5296925405200851,0.38952136298436324,0.7879062509513111,0.5794046419326856,0.9090909090909091,11
Appal_Tertiary,0.44751259451727793,1.9047619047619047,Appal,Inter_annual,11,Fish,Consumers_Vert,Tertiary,Stream,21,1.1356350833831452,0.8533081064384754,0.7020815037214143,0.30326567560797857,0.6182280857596076,0.3553999702097573,0.7513928716400732,0.4319522363151647,0.8888888888888888,9
Clau_len_Primary,0.7026415921749163,8.857142857142858,Clau_len,Inter_annual,10,Zooplankton,Consumers_Inver,Primary,Lake,7,2.150808037744885,1.3362206054601198,1.5993547396106105,0.7770041928577484,0.7436064546641403,0.5814939461962506,0.6212644652663389,0.4858235472181256,0.9333333333333333,15
Clau_lot_Primary,0.7096453301687997,8.8,Clau_lot,Inter_annual,10,Zooplankton,Consumers_Inver,Primary,Stream,5,2.642709832197795,2.07440194691806,2.334969411150833,1.4167052634987225,0.8835511877628156,0.6829463622532375,0.7849525973848196,0.6067339712174101,0.9282051282051282,14
KLMP_Primary,0.5161861140838288,4.416666666666667,KLMP,Inter_annual,30,Zooplankton,Consumers_Inver,Primary,Lake,12,2.2668453065219696,1.2426667358099002,1.8775992783304183,0.9508815540642901,0.8282873440584382,0.7651943410592374,0.5481921206685819,0.5064347675451943,0.8333333333333334,6
Luzia_len_Producers,0.7389415465991818,25.142857142857142,Luzia_len,Inter_annual,19,Phytoplankton,Producers,Producers,Lake,7,2.778627160129964,1.4895269421903847,2.250781691675244,0.9660561188305627,0.8100337187987354,0.6485657234302552,0.5360657822551175,0.4292091598237289,0.9824561403508771,57
Luzia_lot_Producers,0.6413956265771129,9.5,Luzia_lot,Inter_annual,18,Phytoplankton,Producers,Producers,Stream,5,2.301022935521389,1.149998307399345,1.9058147819830402,0.6633247930101013,0.8282467560677319,0.57680501679187,0.4997769859859162,0.34805312629588164,0.9393382352941176,16.5
Norway_Producers,0.468517226808158,7,Norway,Inter_annual,29,Benthic algae,Producers,Producers,Stream,7,2.696534847287078,1.8560916233561238,2.0399479183085534,1.059016753825271,0.7565071596834353,0.5705627569776927,0.6883247309870648,0.5191391134649002,0.9375,16
Nuria_Primary,0.7548574365802965,12.307692307692308,Nuria,Inter_annual,5,Macroinvertebrates,Consumers_Inver,Primary,Stream,13,1.1199650589271535,0.5770745608532537,0.9337397346231459,0.4686761852397686,0.8337222015815402,0.8121588041357968,0.5152612184223407,0.5019344982988485,0.9696969696969697,33
Nuria_Secondary,0.5986739892993534,2.923076923076923,Nuria,Inter_annual,5,Macroinvertebrates,Consumers_Inver,Secondary,Stream,13,1.2316192578040335,0.6618612694241883,1.0661361175464423,0.5296240727662966,0.865637745424145,0.8002040567006791,0.5373911338511231,0.49676965637853976,0.875,8
Peter_Primary,0.551695757225459,6.3,Peter,Inter_annual,6,Macroinvertebrates,Consumers_Inver,Primary,Stream,5,1.3077342027183674,0.8556412346266394,1.1839227481241046,0.8054897263041382,0.9053236855494811,0.9413872236482561,0.6542929234763692,0.6803566597401867,0.9372549019607843,16
Peter_Secondary,0.3878673780757217,2.6,Peter,Inter_annual,6,Macroinvertebrates,Consumers_Inver,Secondary,Stream,5,1.3715186575486282,0.9883101549119148,1.0739006370044488,0.7264184248178294,0.7830011141983848,0.7350105846909698,0.7205954869606821,0.6764298295269752,0.8571428571428572,7
Quebra_Producers,0.7651416988198371,7.75,Quebra,Inter_annual,9,Phytoplankton,Producers,Producers,Lake,4,2.0353093694894673,0.947771765689515,1.8176624718079188,0.8016049200081236,0.8930644643294977,0.8457784342467162,0.4656647190334765,0.44100867594565873,0.9230769230769231,13
Timo_Primary,0.5756375882013663,13.6,Timo,Inter_annual,14,Macroinvertebrates,Consumers_Inver,Primary,Stream,10,0.9138106416885586,0.6615241891516744,0.5529165422281392,0.41621944060503663,0.6050668672521129,0.6291824961666,0.7239182375128572,0.7527708231114925,0.9599358974358975,25
Timo_Secondary,0.5712682262942674,4.05,Timo,Inter_annual,14,Macroinvertebrates,Consumers_Inver,Secondary,Stream,10,0.9391563454875281,0.7875432618921928,0.6926566939340785,0.6046030527215572,0.7375307607324012,0.7677077336283802,0.8385645964872537,0.8728754923129329,0.8571428571428572,7
LEPAS_Primary,0.764194576,15,LEPAS,Inter_annual,23,Zooplankton,Consumers_Inver,Primary,Lake,8,1.245185062,0.747177008,0.93480638,0.587456337,0.750736905,0.786234494,0.600052981,0.628425682,0.95,20
