Site_troph,Lat,Long,Simp,synchrony_comm_site,mean_cv_species_site,cv_comm_site,Metacom,Meta_troph,Site,Bio_gr,Ecosys,New_tr_g,S
2080020620_438_Tertiary,45.58266,2.063903433,0,1,0.37485645488469,0.37485645488469,2080020620,2080020620_Tertiary,2080020620_438,Fish,Stream,Tertiary,1
2080020620_439_Secondary,45.35691,1.357080621,0.5604000251849199,0.5493760815936231,1.8874099248950968,0.4640212259583655,2080020620,2080020620_Secondary,2080020620_439,Fish,Stream,Secondary,3
2080020620_439_Tertiary,45.35691,1.357080621,0,1,0.4653909139439126,0.4653909139439126,2080020620,2080020620_Tertiary,2080020620_439,Fish,Stream,Tertiary,1
2080020620_440_Secondary,45.05301,1.989490434,0,0.971225926555537,1.87112677977483,0.5804657016281536,2080020620,2080020620_Secondary,2080020620_440,Fish,Stream,Secondary,1
2080020620_440_Tertiary,45.05301,1.989490434,0.025183556557586195,0.9294260990872846,1.4365748695786051,0.4557749215234006,2080020620,2080020620_Tertiary,2080020620_440,Fish,Stream,Tertiary,2
2080020620_513_Secondary,44.70606,1.377396141,0.3715999196251233,0.6317731919908931,1.7363419222699734,0.5767473472328486,2080020620,2080020620_Secondary,2080020620_513,Fish,Stream,Secondary,3.5
2080020620_513_Tertiary,44.70606,1.377396141,0,0.9602835679000672,1.6936308382589353,1.1130677474207855,2080020620,2080020620_Tertiary,2080020620_513,Fish,Stream,Tertiary,1
2080020620_514_Secondary,44.92073,1.4613566629999999,0.18945017667546526,0.899987603631212,1.5175863905450584,0.6315109503254085,2080020620,2080020620_Secondary,2080020620_514,Fish,Stream,Secondary,4
2080020620_514_Tertiary,44.92073,1.4613566629999999,0,0.7833291493864764,1.8738844736974831,0.5422377360417807,2080020620,2080020620_Tertiary,2080020620_514,Fish,Stream,Tertiary,1
2080021030_172_Secondary,46.02409,3.739135548,0,0.819783186549415,1.9347682746147579,0.43812774719825015,2080021030,2080021030_Secondary,2080021030_172,Fish,Stream,Secondary,1
2080021030_172_Tertiary,46.02409,3.739135548,0,1,0.23668493019140371,0.23668493019140371,2080021030,2080021030_Tertiary,2080021030_172,Fish,Stream,Tertiary,1
2080021030_178_Secondary,45.28162,2.909123676,0,1,0.5432035039430174,0.5432035039430174,2080021030,2080021030_Secondary,2080021030_178,Fish,Stream,Secondary,1
2080021030_178_Tertiary,45.28162,2.909123676,0,1,0.8617351465555234,0.8617351465555234,2080021030,2080021030_Tertiary,2080021030_178,Fish,Stream,Tertiary,1
2080021030_183_Secondary,45.86188,3.334347374,0.6873636400008588,0.6154909636364811,1.9323678930523853,0.6006642837763841,2080021030,2080021030_Secondary,2080021030_183,Fish,Stream,Secondary,10
2080021030_183_Tertiary,45.86188,3.334347374,0.1454159335256398,0.6771470857992284,1.5871752038420706,0.9780838814514845,2080021030,2080021030_Tertiary,2080021030_183,Fish,Stream,Tertiary,2
2080021030_185_Secondary,46.14277,2.56659892,0.6035414701279509,0.8275214381882899,1.1288198373818747,0.47302525535830814,2080021030,2080021030_Secondary,2080021030_185,Fish,Stream,Secondary,5
2080021030_185_Tertiary,46.14277,2.56659892,0.15093528984070326,0.7346883789056727,2.127732582559683,1.1174626918033015,2080021030,2080021030_Tertiary,2080021030_185,Fish,Stream,Tertiary,1.5
2080021030_189_Secondary,44.94534,3.468584835,0.34089663988312635,0.968795488832131,2.489052351365663,1.5575290965023407,2080021030,2080021030_Secondary,2080021030_189,Fish,Stream,Secondary,2
2080021030_189_Tertiary,44.94534,3.468584835,0,1,0.3961495116043808,0.3961495116043808,2080021030,2080021030_Tertiary,2080021030_189,Fish,Stream,Tertiary,1
2080021030_191_Secondary,45.25327,3.654940367,0.49789539132196475,0.9146709196164218,1.0085687014112885,0.6785621999003388,2080021030,2080021030_Secondary,2080021030_191,Fish,Stream,Secondary,2.5
2080021030_191_Tertiary,45.25327,3.654940367,0,0.9970010527085259,1.1882097922216668,0.2685100876398559,2080021030,2080021030_Tertiary,2080021030_191,Fish,Stream,Tertiary,1
2080021030_202_Secondary,48.40385,0.871063911,0.7013064351691836,0.7654233980948086,1.739711096068962,0.6462104086327899,2080021030,2080021030_Secondary,2080021030_202,Fish,Stream,Secondary,7
2080021030_202_Tertiary,48.40385,0.871063911,0,0.8642821582963783,1.3767983882458823,0.5590169943749475,2080021030,2080021030_Tertiary,2080021030_202,Fish,Stream,Tertiary,1
2080021030_203_Secondary,48.43487,0.907106587,0.10138343755152668,0.9276353813428426,1.7556147712684027,0.31797103019735257,2080021030,2080021030_Secondary,2080021030_203,Fish,Stream,Secondary,2
2080021030_203_Tertiary,48.43487,0.907106587,0,0.9811923819429959,1.1866929005123548,0.2640975888834371,2080021030,2080021030_Tertiary,2080021030_203,Fish,Stream,Tertiary,1
2080021030_215_Secondary,48.64958,-0.580241592,0.6662260443152013,0.565314428997364,1.10827571014272,0.3554530588623051,2080021030,2080021030_Secondary,2080021030_215,Fish,Stream,Secondary,5
2080021030_215_Tertiary,48.64958,-0.580241592,0,0.9724451211630011,1.2519773193978412,0.5895337897593338,2080021030,2080021030_Tertiary,2080021030_215,Fish,Stream,Tertiary,1
2080021030_216_Secondary,48.69012,-0.744099437,0.6506134318676866,0.8213600506872566,0.5505603892414924,0.41573766312380517,2080021030,2080021030_Secondary,2080021030_216,Fish,Stream,Secondary,5
2080021030_216_Tertiary,48.69012,-0.744099437,0,0.9902937847184976,1.7114097953985126,0.25979015465773053,2080021030,2080021030_Tertiary,2080021030_216,Fish,Stream,Tertiary,1
2080021030_225_Secondary,48.51298,-0.075398593,0.6276662683900706,0.7754432392919817,1.2787381314503277,0.4835401209671151,2080021030,2080021030_Secondary,2080021030_225,Fish,Stream,Secondary,5
2080021030_225_Tertiary,48.51298,-0.075398593,0,0.981851947631531,1.781399150538222,0.4020274940226198,2080021030,2080021030_Tertiary,2080021030_225,Fish,Stream,Tertiary,1
